,연번,역번호,호선,역명,역주소,위도,경도,구별
146,147,2536,5,을지로4가,서울특별시 중구 을지로 지하 178 (을지로4가),126.9978528,37.56663699,중구
147,148,2537,5,동대문역사문화공원,서울특별시 중구 을지로 지하 279 (을지로7가),127.0091315,37.56558952,중구
148,149,2538,5,청구,서울특별시 중구 청구로 지하77 (신당동),127.013806,37.56029391,중구
149,150,2539,5,신금호,서울특별시 성동구 금호로 지하154 (금호동2가),127.0200641,37.55453249,성동구
150,151,2540,5,행당,서울특별시 성동구 행당로 지하89 (행당동),127.029232,37.55727844,성동구
151,152,2541,5,왕십리,서울특별시 성동구 왕십리로 지하300 (행당동),127.0366554,37.56122174,성동구
152,153,2542,5,마장,서울특별시 성동구 마장로 지하296 (마장동),127.0431634,37.56628278,성동구
153,154,2543,5,답십리,서울특별시 성동구 천호대로 지하300(용답동),127.053181,37.56644583,성동구
154,155,2544,5,장한평,서울특별시 동대문구 천호대로 지하405 (장안동),127.0644211,37.56150268,동대문구
155,156,2545,5,군자,서울특별시 광진구 천호대로 지하550,127.0790173,37.55736319,광진구
156,157,2546,5,아차산,서울특별시 광진구 천호대로 지하657,127.0893706,37.55240114,광진구
157,158,2547,5,광나루,서울특별시 광진구 아차산로 지하571 (광장동),127.1036865,37.54527866,광진구
158,159,2548,5,천호,서울특별시 강동구 천호대로 지하997 (천호동),127.1237424,37.53857898,강동구
159,160,2549,5,강동,서울특별시 강동구 천호대로 지하1097 (천호동),127.1335296,37.53552051,강동구
160,161,2550,5,길동,서울특별시 강동구 양재대로 지하1480 (길동),127.1399992,37.53781156,강동구
161,162,2551,5,굽은다리,서울특별시 강동구 양재대로 지하1572 (명일동),127.1429708,37.54573147,강동구
162,163,2552,5,명일,서울특별시 강동구 양재대로 지하1632 (명일동),127.1440009,37.55126028,강동구
163,164,2553,5,고덕,서울특별시 강동구 고덕로 지하253 (고덕동),127.1539494,37.55504732,강동구
164,165,2554,5,상일동,서울특별시 강동구 고덕로 지하359 (상일동),127.1658292,37.55666438,강동구
165,166,2555,5,둔촌동,서울특별시 강동구 양재대로 지하1369 (둔촌동),127.1361903,37.52764137,강동구
166,167,2556,5,올림픽공원,서울특별시 송파구 양재대로 지하1233,127.1306001,37.51608765,송파구
167,168,2557,5,방이,서울특별시 송파구 양재대로 지하1127 (방이동),127.1258547,37.50855645,송파구
168,169,2558,5,오금,서울특별시 송파구 오금로 지하 321 (오금동),127.1278792,37.50226598,송파구
169,170,2559,5,개롱,서울특별시 송파구 오금로 지하402 (가락동),127.1351586,37.49781466,송파구
170,171,2560,5,거여,서울특별시 송파구 오금로 지하499 (거여동),127.1440323,37.49320733,송파구
171,172,2561,5,마천,서울특별시 송파구 마천로57길 지하7 (마천동),127.1523206,37.49467062,송파구
172,173,2611,6,응암,서울특별시 은평구 증산로 지하477 (역촌동),126.9155128,37.59874233,은평구
173,174,2612,6,역촌,서울특별시 은평구 서오릉로 지하63 (녹번동),126.9229679,37.60603905,은평구
174,175,2613,6,불광,서울특별시 은평구 통일로 지하 723-1 (대조동),126.9299858,37.61020726,은평구
175,176,2614,6,독바위,서울특별시 은평구 불광로 지하129-1 (불광동),126.9328101,37.61839888,은평구
176,177,2615,6,연신내,서울특별시 은평구 통일로 지하 849 (갈현동),126.9211621,37.618962,은평구
177,178,2616,6,구산,서울특별시 은평구 연서로 지하137-1 (구산동),126.9171824,37.61121222,은평구
178,179,2617,6,새절,서울특별시 은평구 증산로 지하400 (신사동,126.913912,37.59182705,은평구
179,180,2618,6,증산,서울특별시 은평구 증산로 지하306 (증산동),126.9100576,37.58419548,은평구
180,181,2619,6,디지털미디어시티,서울특별시 은평구 수색로 지하175 (증산동),126.9019286,37.57716144,은평구
181,182,2620,6,월드컵경기장,서울특별시 마포구 월드컵로 지하240 (성산동),126.8990333,37.56994257,마포구
182,183,2621,6,마포구청,서울특별시 마포구 월드컵로 지하190 (성산동),126.903357,37.56342631,마포구
183,184,2622,6,망원,서울특별시 마포구 월드컵로 지하77 (망원동),126.9100339,37.55605729,마포구
184,185,2623,6,합정,서울특별시 마포구 양화로 지하 45 ,126.9135446,37.54912268,마포구
185,186,2624,6,상수,서울특별시 마포구 독막로 지하85 (상수동),126.9224099,37.54777167,마포구
186,187,2625,6,광흥창,서울특별시 마포구 독막로 지하 165,126.9319392,37.54748607,마포구
187,188,2626,6,대흥,서울특별시 마포구 대흥로 지하 85,126.9424653,37.54766835,마포구
188,189,2627,6,공덕,서울특별시 마포구 백범로 지하 200(공덕동),126.9519476,37.54352692,마포구
189,190,2628,6,효창공원앞,서울특별시 용산구 백범로 지하287 (효창동),126.9613185,37.53933404,용산구
190,191,2629,6,삼각지,서울특별시 용산구 한강대로 지하 180 (한강로1가),126.973011,37.53459371,용산구
191,192,2630,6,녹사평,서울특별시 용산구 녹사평대로 지하195 (용산동4가),126.9870285,37.53483142,용산구
192,193,2631,6,이태원,서울특별시 용산구 이태원로 지하177 (이태원동),126.9937217,37.53448328,용산구
193,194,2632,6,한강진,서울특별시 용산구 이태원로 지하287 (한남동),127.0017483,37.54029515,용산구
194,195,2633,6,버티고개,서울특별시 중구 다산로 지하38 (신당동),127.0068852,37.547995,중구
195,196,2634,6,약수,서울특별시 중구 다산로 지하 122 (신당동),127.0108225,37.55455956,중구
196,197,2635,6,청구,서울특별시 중구 청구로 지하77 (신당동),127.013806,37.56029391,중구
197,198,2636,6,신당,서울특별시 중구 퇴계로 지하 431-1 (신당동),127.0195406,37.56565403,중구
198,199,2637,6,동묘앞,서울특별시 종로구 종로 359 (숭인동),127.0167512,37.57337221,종로구
199,200,2638,6,창신,서울특별시 종로구 지봉로 지하112 (창신동),127.0152112,37.58001689,종로구
200,201,2639,6,보문,서울특별시 성북구 보문로 지하116 (보문동1가),127.019387,37.58532772,성북구
201,202,2640,6,안암,서울특별시 성북구 고려대로 지하89 (안암동5가),127.029213,37.58628048,성북구
202,203,2641,6,고려대,서울특별시 성북구 종암로 지하1 (종암동),127.0362849,37.59064969,성북구
203,204,2642,6,월곡,서울특별시 성북구 월곡로 지하107 (하월곡동),127.0411848,37.60142105,성북구
204,205,2643,6,상월곡,서울특별시 성북구 화랑로 지하157 (상월곡동),127.0483266,37.60626414,성북구
205,206,2644,6,돌곶이,서울특별시 성북구 화랑로 지하243 (석관동),127.0564252,37.6105507,성북구
206,207,2645,6,석계,서울특별시 노원구 화랑로 지하347-1 (월계동),127.0661184,37.61504808,노원구
207,208,2646,6,태릉입구,서울특별시 노원구 동일로 지하992-1 (공릉동),127.0749954,37.61790567,노원구
208,209,2647,6,화랑대,서울특별시 노원구 화랑로 지하510,127.0837446,37.61989439,노원구
209,210,2648,6,봉화산,서울특별시 중랑구 신내로 지하232 (신내동),127.0907581,37.61765376,중랑구
210,211,2649,6,신내,서울특별시 중랑구 용마산로136길 33,127.110258,37.61009453,중랑구
211,212,2711,7,장암,경기도 의정부시 동일로 121 (장암동),127.0531354,37.70011896,의정부시
212,213,2712,7,도봉산,서울특별시 도봉구 도봉로 964-40 (도봉동),127.0465288,37.68912056,도봉구
213,214,2713,7,수락산,서울특별시 노원구 동일로 지하1662 (상계동),127.0553746,37.67762594,노원구
214,215,2714,7,마들,서울특별시 노원구 동일로 지하1530-1 (상계동),127.0576877,37.66508643,노원구
215,216,2715,7,노원,서울특별시 노원구 상계로 69-1 (상계동),127.0630304,37.65626778,노원구
216,217,2716,7,중계,서울특별시 노원구 동일로 지하1308-1 (중계동),127.0642467,37.64489068,노원구
217,218,2717,7,하계,서울특별시 노원구 동일로 지하1196 (하계동),127.0679885,37.63645212,노원구
218,219,2718,7,공릉,서울특별시 노원구 동일로 지하1074,127.0730052,37.62547692,노원구
219,220,2719,7,태릉입구,서울특별시 노원구 동일로 지하992-1 (공릉동),127.0749954,37.61790567,노원구
220,221,2720,7,먹골,서울특별시 중랑구 동일로 지하901 (묵동),127.0777648,37.61062506,중랑구
221,222,2721,7,중화,서울특별시 중랑구 동일로 지하797 (중화동),127.0794692,37.6015797,중랑구
222,223,2722,7,상봉,서울특별시 중랑구 망우로 297,127.0854368,37.59671378,중랑구
223,224,2723,7,면목,서울특별시 중랑구 면목로 지하407(면목동 / 면목역),127.0875678,37.5883849,중랑구
224,225,2724,7,사가정,서울특별시 중랑구 사가정로 지하393 (면목동),127.0884391,37.58079455,중랑구
225,226,2725,7,용마산,서울특별시 중랑구 용마산로 지하227 (면목동),127.0870381,37.57403021,중랑구
226,227,2726,7,중곡,서울특별시 광진구 능동로 지하417 (중곡동),127.0840724,37.56552588,광진구
227,228,2727,7,군자,서울특별시 광진구 천호대로 지하550,127.0790173,37.55736319,광진구
228,229,2728,7,어린이대공원,서울특별시 광진구 능동로 지하210 (화양동),127.0745499,37.5478712,광진구
229,230,2729,7,건대입구,서울특별시 광진구 능동로110(화양동6-3),127.0714119,37.54065794,광진구
230,231,2730,7,뚝섬유원지,서울특별시 광진구 능동로 10 (자양동),127.0667177,37.53158626,광진구
231,232,2731,7,청담,서울특별시 강남구 학동로 지하508 (청담동),127.0536445,37.51944066,강남구
232,233,2732,7,강남구청,서울특별시 강남구 학동로 지하346 (삼성동),127.0413014,37.51718924,강남구
233,234,2733,7,학동,서울특별시 강남구 학동로 지하180 (논현동),127.0314638,37.51420643,강남구
234,235,2734,7,논현,서울특별시 강남구 학동로 지하102(논현동),127.0216579,37.51119883,강남구
235,236,2735,7,반포,서울특별시 서초구 신반포로 지하241(잠원동),127.011497,37.50812639,서초구
236,237,2736,7,고속터미널,서울특별시 서초구 신반포로 지하 188 (반포동),127.0044421,37.50464718,서초구
237,238,2737,7,내방,서울특별시 서초구 서초대로 지하103 (방배동),126.9931903,37.48753353,서초구
238,239,2738,7,이수,서울특별시 동작구 사당로 지하310 (사당동),126.9810218,37.48501514,동작구
239,240,2739,7,남성,서울특별시 동작구 사당로 지하218 (사당동),126.9717061,37.48444339,동작구
240,241,2740,7,숭실대입구,서울특별시 동작구 상도로 지하 378,126.9540602,37.49581433,동작구
241,242,2741,7,상도,서울특별시 동작구 상도로 지하272 (상도1동),126.9477004,37.50320805,동작구
242,243,2742,7,장승배기,서울특별시 동작구 상도로 지하188 (상도동),126.9387444,37.5046658,동작구
243,244,2743,7,신대방삼거리,서울특별시 동작구 상도로 지하76 (대방동) ,126.928223,37.49972183,동작구
244,245,2744,7,보라매,서울특별시 동작구 상도로 지하2 (대방동),126.9204894,37.49991005,동작구
245,246,2745,7,신풍,서울특별시 영등포구 신풍로 지하27 (신길동),126.9098417,37.5001172,영등포구
246,247,2746,7,대림,서울특별시 영등포구 도림로 지하137,126.8966118,37.49274307,영등포구
247,248,2747,7,남구로,서울특별시 구로구 도림로 지하7 (구로동),126.887341,37.48616184,구로구
248,249,2748,7,가산디지털단지,서울특별시 금천구 벚꽃로 309 (가산동),126.8825595,37.48159574,금천구
249,250,2749,7,철산,경기도 광명시 철산로 지하13 (철산동),126.8680039,37.47609801,광명시
250,251,2750,7,광명사거리,경기도 광명시 오리로 지하980(광명동),126.8547032,37.47933558,광명시
251,252,2751,7,천왕,서울특별시 구로구 오리로 지하1154(오류동),126.8387137,37.48682194,구로구
252,253,2752,7,온수,서울특별시 구로구 경인로3길 지하64 (온수동),126.8233807,37.49215028,구로구
253,254,2753,7,까치울,경기도 부천시 길주로 626 ,126.8113983,37.50619978,부천시
254,255,2754,7,부천종합운동장,경기도 부천시 길주로 지하 502 ,126.79743,37.50548324,부천시
255,256,2755,7,춘의,경기도 부천시 길주로 지하 406 ,126.7868664,37.50364409,부천시
256,257,2756,7,신중동,경기도 부천시 길주로 314 ,126.7764991,37.50297215,부천시
257,258,2757,7,부천시청,경기도 부천시 길주로 202 ,126.7640604,37.50464221,부천시
258,259,2758,7,상동,경기도 부천시 길주로 104 ,126.753187,37.50580985,부천시
259,260,2759,7,삼산체육관,인천광역시 부평구 길주로 지하713 (삼산동),126.7419066,37.5065825,부평구
260,261,2760,7,굴포천,인천광역시 부평구 길주로 지하623 (삼산동),126.7317624,37.50707843,부평구
261,262,2761,7,부평구청,인천광역시 부평구 길주로 지하527(갈산동),126.7208572,37.50760647,부평구
262,263,2811,8,암사,서울특별시 강동구 올림픽로 지하776 (암사동),127.1275402,37.55014034,강동구
263,264,2812,8,천호,서울특별시 강동구 천호대로 지하997 (천호동),127.1237424,37.53857898,강동구
264,265,2813,8,강동구청,서울특별시 강동구 올림픽로 지하550 (성내동),127.1205761,37.53067409,강동구
265,266,2814,8,몽촌토성,서울특별시 송파구 올림픽로 지하383,127.1124299,37.51762363,송파구
266,267,2815,8,잠실,서울특별시 송파구 올림픽로 지하 265 (잠실동),127.1018579,37.51385928,송파구
267,268,2816,8,석촌,서울특별시 송파구 송파대로 지하439 (석촌동),127.1063453,37.50594964,송파구
268,269,2817,8,송파,서울특별시 송파구 송파대로 지하354 (가락동),127.1121799,37.49968667,송파구
269,270,2818,8,가락시장,서울특별시 송파구 송파대로 지하 257 (가락동),127.1184857,37.49274403,송파구
270,271,2819,8,문정,서울특별시 송파구 송파대로 지하179 (문정동),127.1222903,37.48626182,송파구
271,272,2820,8,장지,서울특별시 송파구 송파대로 지하82 (장지동),127.1264242,37.47811921,송파구
272,273,2821,8,복정,서울특별시 송파구 송파대로 지하6 (장지동),127.1267712,37.471056,송파구
273,274,2822,8,산성,경기도 성남시 수정구 수정로 지하365(신흥동),127.1499435,37.45652458,성남시
274,275,2823,8,남한산성입구,경기도 성남시 수정구 산성대로 지하 445,127.1598025,37.45156834,성남시
275,276,2824,8,단대오거리,경기도 성남시 수정구 산성대로 지하365 (신흥동),127.1566879,37.44514315,성남시
276,277,2825,8,신흥,경기도 성남시 수정구 산성대로 지하280 (신흥동),127.1481076,37.44118408,성남시
277,278,2826,8,수진,경기도 성남시 수정구 산성대로 지하200 (수진동),127.1403519,37.43745947,성남시
278,279,2827,8,모란,경기도 성남시 수정구 산성대로 지하100 (수진동),127.1295512,37.43385017,성남시
279,280,4126,9,언주,서울특별시 강남구 봉은사로 지하 201,127.0342847,37.5074455,강남구
280,281,4127,9,선정릉,서울특별시 강남구 선릉로 지하 580,127.043641,37.51085389,강남구
281,282,4128,9,삼성중앙,서울특별시 강남구 봉은사로 지하 501,127.0527057,37.51288303,강남구
282,283,4129,9,봉은사,서울특별시 강남구 봉은사로 지하 601,127.0608919,37.51436062,강남구
283,284,4130,9,종합운동장,서울특별시 송파구 올림픽로 지하 23 (잠실동),127.073356,37.51096927,송파구
284,285,4131,9,삼전,서울특별시 송파구 백제고분로 187,127.0877816,37.5047453,송파구
285,286,4132,9,석촌고분,서울특별시 송파구 삼학사로 53,127.096617,37.50201881,송파구
286,287,4133,9,석촌,서울특별시 송파구 송파대로 439,127.1063453,37.50594964,송파구
287,288,4134,9,송파나루,서울특별시 송파구 오금로 165,127.1131232,37.51012031,송파구
288,289,4135,9,한성백제,서울특별시 송파구 위례성대로 51,127.1181845,37.51686487,송파구
289,290,4136,9,올림픽공원,서울특별시 송파구 양재대로 1233,127.1306001,37.51608765,송파구
290,291,4137,9,둔촌오륜,서울특별시 강동구 강동대로 303,127.1384273,37.51942425,강동구
291,292,4138,9,중앙보훈병원,서울특별시 강동구 명일로 117,127.148542,37.52889572,강동구
